,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
289,Marco Belinelli,G-F,1.96,99.0,Italy,2007,18,West,Southwest,San Antonio Spurs
290,Troy Bell,G-C,1.85,81.0,USA,2003,16,West,Southwest,Memphis Grizzlies
291,Jordan Bell,F,2.03,97.2,USA,2017,38,East,Central,Chicago Bulls
292,Charlie Bell,G-C,1.9,90.0,USA,undrafted,undrafted,East,Central,Milwaukee Bucks
293,William Bell,G-C,1.83,81.0,USA,undrafted,undrafted,East,Atlantic,New York Knicks
294,Dennis Bell,G-C,1.96,83.25,USA,1973,83,East,Atlantic,New York Knicks
295,Raja Bell,G-C,1.96,94.5,US Virgin Islands,undrafted,undrafted,West,Pacific,Phoenix Suns
296,Walt Bellamy,G-C,2.08,101.25,USA,1961,1,East,Southeast,Atlanta Hawks
297,DeAndre' Bembry,F,1.96,94.5,USA,2016,21,East,Central,Milwaukee Bucks
298,Irv Bemoras,G-C,1.9,83.25,USA,1953,undrafted,East,Southeast,Atlanta Hawks
299,Leon Benbow,G-C,1.93,83.25,USA,1974,27,East,Central,Chicago Bulls
300,Dragan Bender,F,2.16,101.25,Croatia,2016,4,West,Pacific,Phoenix Suns
301,Jonathan Bender,G-C,2.13,103.5,USA,1999,5,East,Central,Indiana Pacers
302,Corey Benjamin,G-C,1.98,92.25,USA,1998,28,East,Central,Chicago Bulls
303,Benoit Benjamin,G-C,2.13,119.25,USA,1985,3,West,Pacific,LA Clippers
304,Mario Bennett,G-C,2.06,105.75,USA,1995,27,West,Pacific,Los Angeles Lakers
305,Tony Bennett,G-C,1.83,78.75,USA,1992,35,East,Southeast,Charlotte Hornets
306,Winston Bennett,G-C,2.01,94.5,USA,1988,64,East,Central,Cleveland Cavaliers
307,Mel Bennett,G-C,2.01,90.0,USA,undrafted,undrafted,East,Central,Indiana Pacers
308,Elmer Bennett,G-C,1.83,76.5,USA,1992,38,East,Atlantic,Philadelphia 76ers
309,Anthony Bennett,G-C,2.03,110.25,Canada,2013,1,West,Northwest,Minnesota Timberwolves
310,David Benoit,G-C,2.03,99.0,USA,undrafted,undrafted,West,Northwest,Utah Jazz
311,Keith Benson,G-C,2.11,108.0,USA,2011,48,West,Pacific,Golden State Warriors
312,Kent Benson,G-C,2.11,105.75,USA,1977,1,East,Central,Detroit Pistons
313,Ben Bentil,G-C,2.06,105.75,Ghana,2016,51,West,Southwest,Dallas Mavericks
314,Gene Berce,G-C,1.8,78.75,USA,1948,undrafted,East,Southeast,Atlanta Hawks
315,Gary Bergen,G-C,2.03,94.5,USA,1956,undrafted,East,Atlantic,New York Knicks
316,Jules Bernard,G,1.98,94.5,USA,undrafted,undrafted,East,Central,Cleveland Cavaliers
317,Walter Berry,G-C,2.03,96.75,USA,1986,14,West,Southwest,San Antonio Spurs
318,Ricky Berry,G-C,2.03,92.25,USA,1988,18,West,Pacific,Sacramento Kings
319,Davis Bertans,F,2.08,101.25,Latvia,2011,42,East,Southeast,Charlotte Hornets
320,Dairis Bertans,G,1.93,90.0,Latvia,undrafted,undrafted,West,Southwest,New Orleans Pelicans
321,Del Beshore,G-C,1.8,74.25,USA,undrafted,undrafted,East,Central,Chicago Bulls
322,Travis Best,G-C,1.8,81.9,USA,1995,23,East,Central,Indiana Pacers
323,Patrick Beverley,G,1.88,81.0,USA,2009,42,East,Central,Milwaukee Bucks
324,Tyler Bey,F,2.01,96.75,USA,2020,36,West,Southwest,Houston Rockets
325,Saddiq Bey,F,2.01,96.75,USA,2020,19,East,Southeast,Washington Wizards
326,Sim Bhullar,G-C,2.26,162.0,Canada,undrafted,undrafted,West,Pacific,Sacramento Kings
327,Al Bianchi,G-C,1.9,83.25,USA,1954,18,East,Atlantic,Philadelphia 76ers
328,Henry Bibby,G-C,1.85,83.25,USA,1972,58,East,Atlantic,Philadelphia 76ers
329,Mike Bibby,G,1.88,87.75,USA,1998,2,West,Pacific,Sacramento Kings
330,Ed Biedenbach,G-C,1.85,78.75,USA,1968,45,West,Pacific,Phoenix Suns
331,Andris Biedrins,G-C,2.13,108.9,Latvia,2004,11,West,Pacific,Golden State Warriors
332,Don Bielke,G-C,2.01,108.0,USA,1954,67,East,Central,Detroit Pistons
333,Bob Bigelow,G-C,2.01,96.75,USA,1975,13,West,Pacific,Sacramento Kings
334,Chauncey Billups,G-C,1.9,94.5,USA,1997,3,East,Central,Detroit Pistons
335,Dave Bing,G-C,1.9,81.0,USA,1966,2,East,Central,Detroit Pistons
336,Joe Binion,G-C,2.03,105.75,USA,1984,57,West,Northwest,Portland Trail Blazers
337,Khem Birch,C,2.03,104.85,Canada,undrafted,undrafted,West,Southwest,San Antonio Spurs
338,Jabari Bird,G,1.98,89.10000000000001,USA,2017,56,East,Atlantic,Boston Celtics
339,Jerry Bird,G-C,1.98,94.5,USA,1956,undrafted,East,Atlantic,New York Knicks
340,Larry Bird,G-C,2.06,99.0,USA,1978,6,East,Atlantic,Boston Celtics
341,Otis Birdsong,G-C,1.9,85.5,USA,1977,2,East,Atlantic,Brooklyn Nets
342,Gale Bishop,G-C,1.9,87.75,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
343,Goga Bitadze,C,2.08,112.5,Georgia,2019,18,East,Southeast,Orlando Magic
344,Onuralp Bitim,F,1.98,96.75,Turkey,undrafted,undrafted,East,Central,Chicago Bulls
345,Bismack Biyombo,C,2.03,114.75,Democratic Republic of the Congo,2011,7,West,Northwest,Oklahoma City Thunder
346,Nemanja Bjelica,F,2.06,105.3,Serbia,2010,35,West,Pacific,Golden State Warriors
347,Uwe Blab,G-C,2.16,113.4,USA,1985,17,West,Southwest,Dallas Mavericks
348,Anthony Black,G,2.01,90.0,USA,2023,6,East,Southeast,Orlando Magic
349,Charlie Black,G-C,1.93,90.0,USA,undrafted,undrafted,East,Central,Detroit Pistons
350,Tom Black,G-C,2.08,99.0,USA,1964,72,West,Northwest,Oklahoma City Thunder
351,Norman Black,G-C,1.96,83.25,USA,undrafted,undrafted,East,Central,Detroit Pistons
352,Leaky Black,F,1.98,94.05,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
353,Tarik Black,G-C,2.06,112.5,USA,undrafted,undrafted,West,Pacific,Los Angeles Lakers
354,Rolando Blackman,G-C,1.98,85.5,USA,1981,9,West,Southwest,Dallas Mavericks
355,Nate Blackwell,G-C,1.93,76.5,USA,1987,27,West,Southwest,San Antonio Spurs
356,James Blackwell,G-C,1.83,85.5,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
357,Cory Blackwell,G-C,1.98,94.5,USA,1984,28,West,Northwest,Oklahoma City Thunder
358,Alex Blackwell,G-C,1.98,112.5,USA,undrafted,undrafted,West,Pacific,Los Angeles Lakers
359,DeJuan Blair,G-C,2.01,121.5,USA,2009,37,West,Southwest,San Antonio Spurs
360,Steve Blake,G-C,1.9,77.4,USA,2003,38,West,Northwest,Portland Trail Blazers
361,Marqus Blakely,G-C,1.96,101.25,USA,undrafted,undrafted,West,Southwest,Houston Rockets
362,Antonio Blakeney,G,1.93,86.4,USA,undrafted,undrafted,East,Central,Chicago Bulls
363,Will Blalock,G-C,1.83,92.25,USA,2006,undrafted,East,Central,Detroit Pistons
364,George Blaney,G-C,1.85,78.75,USA,1961,33,East,Atlantic,New York Knicks
365,Lance Blanks,G-C,1.93,85.5,USA,1990,26,East,Central,Detroit Pistons
366,Ricky Blanton,G-C,2.01,96.75,USA,1989,46,East,Central,Chicago Bulls
367,Andray Blatche,G-C,2.11,117.0,USA,2005,49,East,Southeast,Washington Wizards
368,Mookie Blaylock,G-C,1.85,83.25,USA,1989,12,East,Southeast,Atlanta Hawks
369,Eric Bledsoe,G,1.85,96.3,USA,2010,18,West,Northwest,Portland Trail Blazers
370,Keljin Blevins,F,1.93,90.0,USA,2019,undrafted,West,Northwest,Portland Trail Blazers
371,John Block,G-C,2.08,93.15,USA,1966,27,West,Southwest,Houston Rockets
372,Jaron Blossomgame,G-C,2.03,99.0,USA,2017,59,East,Central,Cleveland Cavaliers
373,Mark Blount,G-C,2.13,112.5,USA,1997,54,East,Atlantic,Boston Celtics
374,Corie Blount,G-C,2.08,108.9,USA,1993,25,East,Central,Chicago Bulls
375,Vander Blue,G-C,1.93,90.0,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
376,Trevon Bluiett,G-F,1.98,89.10000000000001,USA,2018,undrafted,West,Northwest,Utah Jazz
377,Ray Blume,G-C,1.93,83.25,USA,1981,36,East,Central,Chicago Bulls
378,Nelson Bobb,G-C,1.83,76.5,USA,1949,undrafted,West,Pacific,Golden State Warriors
379,Tony Bobbitt,G-C,1.93,85.5,USA,undrafted,undrafted,West,Pacific,Los Angeles Lakers
380,Arlen Bockhorn,G-C,1.93,90.0,USA,1958,17,West,Pacific,Sacramento Kings
381,Buddy Boeheim,F,1.96,92.25,USA,undrafted,undrafted,East,Central,Detroit Pistons
382,Tom Boerwinkle,G-C,2.13,119.25,USA,1968,4,East,Central,Chicago Bulls
383,Keith Bogans,G-C,1.96,96.75,USA,2003,43,East,Southeast,Orlando Magic
384,Bojan Bogdanovic,F,2.01,101.7,Croatia,2011,31,East,Atlantic,Brooklyn Nets
385,Bogdan Bogdanović,G,1.96,101.25,Serbia,2014,27,East,Southeast,Atlanta Hawks
386,Muggsy Bogues,G-C,1.6,63.45,USA,1987,12,East,Southeast,Charlotte Hornets
387,Andrew Bogut,F,2.13,117.0,Australia,2005,1,East,Central,Milwaukee Bucks
388,Etdrick Bohannon,G-C,2.06,105.75,USA,undrafted,undrafted,West,Pacific,LA Clippers
389,Manute Bol,G-C,2.29,90.0,USA,1985,31,East,Southeast,Washington Wizards
390,Bol Bol,C,2.21,99.0,Sudan,2019,44,West,Pacific,Phoenix Suns
391,Jonah Bolden,F,2.08,99.0,Australia,2017,36,East,Atlantic,Philadelphia 76ers
392,Marques Bolden,C,2.08,112.05,USA,2019,undrafted,East,Southeast,Charlotte Hornets
393,Leandro Bolmaro,F,1.98,90.0,Argentina,2020,23,West,Northwest,Utah Jazz
394,Joel Bolomboy,G-C,2.06,105.75,Ukraine,2016,52,West,Northwest,Utah Jazz
395,Doug Bolstorff,G-C,1.93,87.75,USA,1957,57,East,Central,Detroit Pistons
396,Adem Bona,F,2.08,105.75,Nigeria,2024,41,East,Atlantic,Philadelphia 76ers
397,Walter Bond,G-C,1.96,90.0,USA,undrafted,undrafted,West,Northwest,Utah Jazz
398,Phil Bond,G-C,1.88,78.75,USA,1977,62,West,Southwest,Houston Rockets
399,Jordan Bone,G,1.9,81.0,USA,2019,57,East,Southeast,Orlando Magic
400,Dexter Boney,G-C,1.93,83.25,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
401,Isaac Bonga,G,2.03,81.0,Germany,2018,39,East,Atlantic,Toronto Raptors
402,Ron Bonham,G-C,1.93,86.4,USA,1964,16,East,Atlantic,Boston Celtics
403,Matt Bonner,G-C,2.08,105.75,USA,2003,45,West,Southwest,San Antonio Spurs
404,Anthony Bonner,G-C,2.03,103.5,USA,1990,23,West,Pacific,Sacramento Kings
405,Trevor Booker,G-C,2.03,102.6,USA,2010,23,East,Southeast,Washington Wizards
406,Melvin Booker,G-C,1.88,83.25,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
407,Devin Booker,G,1.98,92.7,USA,2015,13,West,Pacific,Phoenix Suns
408,Ron Boone,G-C,1.88,90.0,USA,1968,147,West,Pacific,Sacramento Kings
409,Josh Boone,G-C,2.08,108.0,USA,2006,23,East,Atlantic,Brooklyn Nets
410,Calvin Booth,G-C,2.11,103.5,USA,1999,35,West,Northwest,Oklahoma City Thunder
411,Keith Booth,G-C,1.98,101.7,USA,1997,28,East,Central,Chicago Bulls
412,Carlos Boozer,G-C,2.06,116.1,USA,2002,34,West,Northwest,Utah Jazz
413,Bob Boozer,G-C,2.03,96.75,USA,1959,1,West,Pacific,Sacramento Kings
414,Curtis Borchardt,G-C,2.13,108.9,USA,2002,18,West,Northwest,Utah Jazz
415,Jake Bornheimer,G-C,1.96,90.0,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
416,Lazaro Borrell,G-C,2.03,99.0,Cuba,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
417,Costic Borsavage,G-C,2.03,99.0,USA,1950,undrafted,West,Pacific,Golden State Warriors
418,Vince Boryla,G-C,1.96,94.5,USA,undrafted,undrafted,East,Atlantic,New York Knicks
419,Chris Bosh,G-C,2.11,105.75,USA,2003,4,East,Southeast,Miami Heat
420,Jim Bostic,G-C,2.01,101.25,USA,1975,139,East,Central,Detroit Pistons
421,Lawrence Boston,G-C,2.03,101.25,USA,1978,81,East,Southeast,Washington Wizards
422,Brandon Boston Jr.,G,1.98,84.60000000000001,USA,2021,51,West,Southwest,New Orleans Pelicans
423,Tom Boswell,G-C,2.03,99.0,USA,1975,17,East,Atlantic,Boston Celtics
424,Chris Boucher,F,2.06,90.0,Saint Lucia,undrafted,undrafted,East,Atlantic,Toronto Raptors
425,James Bouknight,G,1.93,85.5,USA,2021,11,East,Southeast,Charlotte Hornets
426,Ruben Boumtje-Boumtje,G-C,2.13,115.65,USA,2001,49,West,Northwest,Portland Trail Blazers
427,Jamaree Bouyea,G,1.88,81.0,USA,undrafted,undrafted,West,Southwest,San Antonio Spurs
428,Don Boven,G-C,1.93,94.5,USA,1949,undrafted,East,Central,Detroit Pistons
429,Cal Bowdler,G-C,2.08,113.85,USA,1999,17,East,Southeast,Atlanta Hawks
430,Ryan Bowen,G-C,2.06,98.1,USA,1998,55,West,Northwest,Denver Nuggets
431,Bruce Bowen,G-C,2.01,90.0,USA,undrafted,undrafted,West,Southwest,San Antonio Spurs
432,Brian Bowen II,F,1.98,85.5,USA,undrafted,undrafted,East,Central,Indiana Pacers
433,Anthony Bowie,G-C,1.98,90.0,USA,1986,66,East,Southeast,Orlando Magic
434,Sam Bowie,G-C,2.16,105.75,USA,1984,2,East,Atlantic,Brooklyn Nets
435,Nate Bowman,G-C,2.08,103.5,USA,1965,7,East,Atlantic,New York Knicks
436,Ky Bowman,G,1.85,84.15,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
437,Ira Bowman,G-C,1.96,87.75,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
438,Donnie Boyce,G-C,1.96,87.75,USA,1995,42,East,Southeast,Atlanta Hawks
439,Fred Boyd,G-C,1.88,81.0,USA,1972,5,East,Atlantic,Philadelphia 76ers
440,Ken Boyd,G-C,1.96,87.75,USA,1974,154,West,Northwest,Utah Jazz
441,Dennis Boyd,G-C,1.85,78.75,USA,1977,72,East,Central,Detroit Pistons
442,Earl Boykins,G-C,1.65,59.85,USA,undrafted,undrafted,West,Northwest,Denver Nuggets
443,Winford Boynes,G-C,1.98,83.25,USA,1978,13,East,Atlantic,Brooklyn Nets
444,Cedric Bozeman,G-C,1.98,93.15,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
445,Steve Bracey,G-C,1.85,78.75,USA,1972,21,East,Southeast,Atlanta Hawks
446,Craig Brackins,G-C,2.08,103.5,USA,2010,21,East,Atlantic,Philadelphia 76ers
447,Gary Bradds,G-C,2.03,94.5,USA,1964,3,East,Southeast,Washington Wizards
448,Michael Bradley,G-C,2.08,110.25,USA,2001,17,East,Atlantic,Toronto Raptors
449,Tony Bradley,C,2.08,111.6,USA,2017,28,East,Central,Chicago Bulls
450,Alonzo Bradley,G-C,1.98,85.5,USA,1977,29,West,Southwest,Houston Rockets
451,Dudley Bradley,G-C,1.98,87.75,USA,1979,13,East,Central,Indiana Pacers
452,Charles Bradley,G-C,1.96,96.75,USA,1981,23,East,Atlantic,Boston Celtics
453,Alex Bradley,G-C,1.98,96.75,USA,1981,86,East,Atlantic,New York Knicks
454,Avery Bradley,G,1.9,81.0,USA,2010,19,West,Pacific,Los Angeles Lakers
455,Bill Bradley,G-C,1.96,92.25,USA,1965,undrafted,East,Atlantic,New York Knicks
456,Shawn Bradley,G-C,2.29,123.75,USA,1993,2,West,Southwest,Dallas Mavericks
457,Mark Bradtke,G-C,2.08,119.25,Australia,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
458,Marques Bragg,G-C,2.03,103.5,USA,undrafted,undrafted,West,Northwest,Minnesota Timberwolves
459,Torraye Braggs,G-C,2.03,110.25,USA,1998,57,West,Southwest,Houston Rockets
460,A.J. Bramlett,G-C,2.08,102.15,USA,1999,39,East,Central,Cleveland Cavaliers
461,Adrian Branch,G-C,2.01,83.25,USA,1985,46,West,Northwest,Portland Trail Blazers
462,Elton Brand,F,2.06,114.3,USA,1999,1,West,Pacific,LA Clippers
463,Terrell Brandon,G-C,1.8,77.85000000000001,USA,1991,11,East,Central,Cleveland Cavaliers
464,Malaki Branham,F,1.93,81.0,USA,2022,undrafted,West,Southwest,San Antonio Spurs
465,Bob Brannum,G-C,1.98,96.75,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
466,Jesse Branson,G-C,2.01,87.75,USA,1965,13,East,Atlantic,Philadelphia 76ers
467,Brad Branson,G-C,2.08,99.0,USA,1980,45,East,Central,Indiana Pacers
468,Jarrell Brantley,F,1.96,112.5,USA,2019,undrafted,West,Northwest,Utah Jazz
469,Jim Brasco,G-C,1.85,76.5,USA,1952,undrafted,East,Southeast,Atlanta Hawks
470,Mike Bratz,G-C,1.88,83.25,USA,1977,66,West,Pacific,Phoenix Suns
471,Christian Braun,G,1.98,99.0,USA,2022,21,West,Northwest,Denver Nuggets
472,Carl Braun,G-C,1.96,81.0,USA,undrafted,undrafted,East,Atlantic,New York Knicks
473,Ignas Brazdeikis,F,1.98,99.45,Canada,2019,47,East,Southeast,Orlando Magic
474,Tim Breaux,G-C,2.01,96.75,USA,undrafted,undrafted,West,Southwest,Houston Rockets
475,J.R. Bremer,G-C,1.88,83.25,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
476,Tom Brennan,G-C,1.9,87.75,USA,1952,undrafted,West,Pacific,Golden State Warriors
477,Pete Brennan,G-C,1.98,92.25,USA,1958,4,East,Atlantic,New York Knicks
478,Randy Breuer,G-C,2.21,103.5,USA,1983,18,East,Central,Milwaukee Bucks
479,Corey Brewer,G-C,2.06,84.60000000000001,USA,2007,7,West,Northwest,Minnesota Timberwolves
480,Jim Brewer,G-C,2.06,94.5,USA,1973,2,East,Central,Cleveland Cavaliers
481,Ron Brewer,G-C,1.93,81.0,USA,1978,7,West,Northwest,Portland Trail Blazers
482,Ronnie Brewer,G-C,2.01,105.75,USA,2006,14,West,Northwest,Utah Jazz
483,Jamison Brewer,G-C,1.93,82.8,USA,2001,undrafted,East,Central,Indiana Pacers
484,Primoz Brezec,G-C,2.16,114.75,Slovenia,2000,27,East,Southeast,Charlotte Hornets
485,Frank Brian,G-C,1.85,81.0,USA,undrafted,undrafted,East,Central,Detroit Pistons
486,Frank Brickowski,G-C,2.06,111.6,USA,1981,57,East,Central,Milwaukee Bucks
487,Junior Bridgeman,G-C,1.96,94.5,USA,1975,8,East,Central,Milwaukee Bucks
488,Miles Bridges,F,2.01,101.25,USA,2018,12,East,Southeast,Charlotte Hornets
489,Bill Bridges,G-C,1.96,102.6,USA,1961,32,East,Southeast,Atlanta Hawks
490,Mikal Bridges,F,1.98,94.05,USA,2018,undrafted,East,Atlantic,New York Knicks
491,Jalen Bridges,F,2.03,101.25,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
492,Al Brightman,G-C,1.88,87.75,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
493,Amida Brimah,C,2.08,103.5,USA,undrafted,undrafted,West,Northwest,Denver Nuggets
494,Audley Brindley,G-C,1.93,78.75,USA,undrafted,undrafted,East,Atlantic,New York Knicks
495,Isaiah Briscoe,G,1.9,96.75,USA,undrafted,undrafted,East,Southeast,Orlando Magic
496,John Brisker,G-C,1.96,94.5,USA,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
497,Oshae Brissett,F,2.01,94.5,Canada,undrafted,undrafted,East,Atlantic,Boston Celtics
498,Allan Bristow,G-C,2.01,94.5,USA,1973,21,West,Southwest,San Antonio Spurs
499,Tyrone Britt,G-C,1.93,85.5,USA,undrafted,undrafted,West,Southwest,Houston Rockets
500,Wayman Britt,G-C,1.88,83.25,USA,1976,undrafted,East,Central,Detroit Pistons
501,Mike Brittain,G-C,2.13,105.75,USA,1985,29,West,Southwest,San Antonio Spurs
502,David Britton,G-C,1.93,81.0,USA,1980,57,East,Southeast,Washington Wizards
503,Izaiah Brockington,G,1.93,88.2,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans
504,Jon Brockman,G-C,2.01,114.75,USA,2009,38,East,Central,Milwaukee Bucks
505,Ryan Broekhoff,G-F,1.98,96.75,Australia,undrafted,undrafted,West,Southwest,Dallas Mavericks
506,Jim Brogan,G-C,1.93,83.25,USA,undrafted,undrafted,West,Pacific,LA Clippers
507,Malcolm Brogdon,G,1.93,103.05,USA,2016,36,East,Southeast,Washington Wizards
508,Gary Brokaw,G-C,1.93,80.10000000000001,USA,1974,18,East,Central,Milwaukee Bucks
509,Kevin Brooks,G-C,1.98,90.0,USA,1991,18,West,Northwest,Denver Nuggets
510,Dillon Brooks,G-F,1.98,101.25,Canada,2017,45,West,Southwest,Houston Rockets
511,Armoni Brooks,G,1.9,87.75,USA,2019,undrafted,East,Atlantic,Brooklyn Nets
512,Scott Brooks,G-C,1.8,74.25,USA,undrafted,undrafted,West,Southwest,Houston Rockets
513,Michael Brooks,G-C,2.01,99.0,USA,1980,9,West,Pacific,LA Clippers
514,Aaron Brooks,G-C,1.83,72.45,USA,2007,26,West,Southwest,Houston Rockets
515,MarShon Brooks,G,1.96,90.0,USA,2011,25,East,Atlantic,Brooklyn Nets
516,Keion Brooks Jr.,F,2.01,94.5,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans
517,Raymond Brown,G-C,2.03,99.0,USA,undrafted,undrafted,West,Northwest,Utah Jazz
518,Kobe Brown,F,2.01,112.5,USA,2023,undrafted,West,Pacific,LA Clippers
519,John Brown,G-C,2.01,99.0,USA,1973,undrafted,East,Southeast,Atlanta Hawks
520,Roger Brown,G-C,2.11,101.25,USA,1971,64,East,Central,Detroit Pistons
521,Devin Brown,G-C,1.96,94.5,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans
522,P.J. Brown,G-C,2.11,107.55,USA,1992,29,West,Southwest,New Orleans Pelicans
523,Moses Brown,C,2.18,116.1,USA,undrafted,undrafted,West,Northwest,Portland Trail Blazers
524,Jaylen Brown,G,1.98,100.35,USA,2016,3,East,Atlantic,Boston Celtics
525,Ernest Brown,G-C,2.13,109.8,USA,2000,52,East,Southeast,Miami Heat
526,Anthony Brown,G-C,2.01,100.8,USA,2015,34,West,Pacific,Los Angeles Lakers
527,Myron Brown,G-C,1.9,81.0,USA,1991,34,West,Northwest,Minnesota Timberwolves
528,Shannon Brown,G-C,1.93,94.5,USA,2006,25,West,Pacific,Los Angeles Lakers
529,Chucky Brown,G-C,2.03,99.0,USA,1989,43,East,Central,Cleveland Cavaliers
530,Derrick Brown,G-C,2.03,104.85,USA,2009,undrafted,East,Southeast,Charlotte Hornets
531,Bobby Brown,G-C,1.88,78.75,USA,undrafted,undrafted,West,Pacific,Sacramento Kings
532,Lewis Brown,G-C,2.11,101.25,USA,1977,69,East,Southeast,Washington Wizards
533,Randy Brown,G-C,1.88,85.5,USA,1991,31,East,Central,Chicago Bulls
534,George Brown,G-C,1.98,85.5,USA,1957,27,West,Pacific,Los Angeles Lakers
535,Tony Brown,G-C,1.98,83.25,USA,1982,82,East,Central,Milwaukee Bucks
536,Kwame Brown,G-C,2.11,130.5,USA,2001,1,East,Southeast,Washington Wizards
537,Kendall Brown,G,2.01,92.25,USA,2022,48,East,Central,Indiana Pacers
538,Fred Brown,G-C,1.9,81.9,USA,1971,6,West,Northwest,Oklahoma City Thunder
539,Chaundee Brown,G,1.96,96.75,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
540,Andre Brown,G-C,2.06,110.25,USA,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
541,Bruce Brown,G,1.93,90.9,USA,2018,42,East,Atlantic,Toronto Raptors
542,Lorenzo Brown,G,1.96,85.05,USA,2013,52,East,Atlantic,Toronto Raptors
543,Damone Brown,G-C,2.03,90.9,USA,2001,36,East,Atlantic,Philadelphia 76ers
544,Marcus Brown,G-C,1.9,83.25,USA,1996,46,West,Northwest,Portland Trail Blazers
545,Sterling Brown,G,1.96,98.55,USA,2017,46,West,Pacific,Los Angeles Lakers
546,Jabari Brown,G-C,1.96,96.3,USA,2014,undrafted,West,Pacific,Los Angeles Lakers
547,Gerald Brown,G-C,1.93,94.5,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
548,Dee Brown,G-C,1.83,81.45,USA,2006,46,West,Northwest,Utah Jazz
549,Mike Brown,G-C,2.08,117.0,USA,1985,69,West,Northwest,Utah Jazz
550,Rickey Brown,G-C,2.08,96.75,USA,1980,13,West,Pacific,Golden State Warriors
551,Charles Brown,G,1.98,89.55,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
552,Tierre Brown,G-C,1.88,85.05,USA,undrafted,undrafted,West,Pacific,Los Angeles Lakers
553,Markel Brown,G-C,1.9,85.5,USA,2014,44,East,Atlantic,Brooklyn Nets
554,Dee Brown,G-C,1.88,92.25,USA,1990,19,East,Atlantic,Boston Celtics
555,Stan Brown,G-C,1.9,90.0,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
556,Kedrick Brown,G-C,2.01,99.9,USA,2001,11,East,Atlantic,Boston Celtics
557,Greg Brown III,F,2.01,92.7,USA,2021,43,West,Southwest,Dallas Mavericks
558,Troy Brown Jr.,F,2.01,96.75,USA,2018,15,East,Central,Detroit Pistons
559,Stanley Brundy,G-C,1.98,94.5,USA,1989,32,East,Atlantic,Brooklyn Nets
560,Rick Brunson,G-C,1.93,85.5,USA,undrafted,undrafted,West,Northwest,Portland Trail Blazers
561,Jalen Brunson,G,1.88,85.5,USA,2018,33,East,Atlantic,New York Knicks
562,Nicolas Brussino,G-C,2.03,96.75,Argentina,undrafted,undrafted,West,Southwest,Dallas Mavericks
